;Von;Bis;Amp
0;0.0;0.08333333333333333;276.12275
1;0.08333333333333333;0.16666666666666666;267.525125
2;0.16666666666666666;0.25;300.588375
3;0.25;0.3333333333333333;313.031
4;0.3333333333333333;0.4166666666666667;313.221
5;0.4166666666666667;0.5;299.346875
6;0.5;0.5833333333333334;302.4145
7;0.5833333333333334;0.6666666666666666;337.29075
8;0.6666666666666666;0.75;338.311
9;0.75;0.8333333333333334;342.62925
10;0.8333333333333334;0.9166666666666666;367.3515
11;0.9166666666666666;1.0;369.54225
12;1.0;1.0833333333333333;435.04075
13;1.0833333333333333;1.1666666666666667;416.453375
14;1.1666666666666667;1.25;444.17925
15;1.25;1.3333333333333333;439.647625
16;1.3333333333333333;1.4166666666666667;457.696125
17;1.4166666666666667;1.5;439.301625
18;1.5;1.5833333333333333;441.58325
19;1.5833333333333333;1.6666666666666667;430.660625
20;1.6666666666666667;1.75;427.50925
21;1.75;1.8333333333333333;400.334875
22;1.8333333333333333;1.9166666666666667;402.211
23;1.9166666666666667;2.0;364.681625
24;2.0;2.0833333333333335;360.997375
25;2.0833333333333335;2.1666666666666665;345.952125
26;2.1666666666666665;2.25;364.974
27;2.25;2.3333333333333335;329.717375
28;2.3333333333333335;2.4166666666666665;347.98475
29;2.4166666666666665;2.5;319.696125
30;2.5;2.5833333333333335;310.90125
31;2.5833333333333335;2.6666666666666665;289.9995
32;2.6666666666666665;2.75;268.99925
33;2.75;2.8333333333333335;256.887
34;2.8333333333333335;2.9166666666666665;262.544375
35;2.9166666666666665;3.0;228.724
36;3.0;3.0833333333333335;219.369
37;3.0833333333333335;3.1666666666666665;218.5965
38;3.1666666666666665;3.25;232.260875
39;3.25;3.3333333333333335;208.689
40;3.3333333333333335;3.4166666666666665;181.16
41;3.4166666666666665;3.5;190.85675
42;3.5;3.5833333333333335;173.584875
43;3.5833333333333335;3.6666666666666665;168.71425
44;3.6666666666666665;3.75;157.4685
45;3.75;3.8333333333333335;158.0125
46;3.8333333333333335;3.9166666666666665;154.228625
47;3.9166666666666665;4.0;149.853625
48;4.0;4.083333333333333;164.3865
49;4.083333333333333;4.166666666666667;141.739
50;4.166666666666667;4.25;154.09048625792812
